Images space usage:

REPOSITORY             TAG       IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
alphacms-backend       latest    ee6f29635ef3   2 hours ago     1.74GB    32B           1.739GB       4
alphacms-frontend      shaabjo   a3e23aa3a946   2 hours ago     290MB     32B           290.4MB       1
shaabjo-admin          latest    27a928714c87   2 hours ago     76.9MB    0B            76.92MB       1
getmeili/meilisearch   v1.16     c0c45cb82a96   11 months ago   250MB     0B            250.3MB       1

Containers space usage:

CONTAINER ID   IMAGE                        COMMAND                  LOCAL VOLUMES   SIZE      CREATED          STATUS                    NAMES
87dffd889080   alphacms-frontend:shaabjo    "/usr/local/bin/dockΓÇª"   1               4.1kB     25 minutes ago   Up 25 minutes             shaabjo-frontend-1
0d0d2a4d84d8   alphacms-backend:latest      "entrypoint.sh /usr/ΓÇª"   0               262kB     25 minutes ago   Up 25 minutes             shaabjo-backend-1
020ba72454d7   alphacms-backend:latest      "entrypoint.sh php aΓÇª"   0               160kB     25 minutes ago   Up 25 minutes             shaabjo-scheduler-1
9fa33606b5e5   alphacms-backend:latest      "entrypoint.sh php aΓÇª"   0               81.9kB    25 minutes ago   Up 25 minutes (healthy)   shaabjo-worker-1
4d1bf2dea5ae   alphacms-backend:latest      "entrypoint.sh php aΓÇª"   0               86kB      25 minutes ago   Up 25 minutes             shaabjo-worker-media-1
d35949f3ffc5   getmeili/meilisearch:v1.16   "tini -- /bin/sh -c ΓÇª"   1               20.5kB    25 minutes ago   Up 25 minutes             shaabjo-meilisearch-1
e352410be944   shaabjo-admin                "/docker-entrypoint.ΓÇª"   0               81.9kB    2 hours ago      Up 2 hours                shaabjo-admin-1

Local Volumes space usage:

VOLUME NAME              LINKS     SIZE
shaabjo_frontend-cache   1         492.1kB
shaabjo_meili-data       1         110.6kB

Build cache usage: 16.08GB

CACHE ID       CACHE TYPE        SIZE      CREATED       LAST USED     USAGE     SHARED
7hbgonjw31f7   regular           83kB      4 hours ago                 0         false
gxw761t23iai   regular           635kB     4 hours ago                 0         false
iebix0mls0t4   regular           642MB     4 hours ago                 0         false
j2yn7hhqwqjb   regular           193MB     4 hours ago                 0         false
j7sbz150eqe5   regular           4.1kB     4 hours ago                 0         false
jdtspzdi59lw   regular           28.7kB    4 hours ago                 0         false
mmnezyw4838o   regular           45.1kB    4 hours ago                 0         false
oevq9sgg4kko   regular           24.6kB    4 hours ago                 0         false
vcdb02oggrl5   regular           3.66MB    4 hours ago                 0         false
xozs9a13syif   regular           28.7kB    4 hours ago                 0         false
t4rnomak12r6   regular           13MB      4 hours ago   4 hours ago   1         false
ovqh863hlm2y   regular           173MB     4 hours ago   4 hours ago   1         false
tezl0glczjgx   regular           12.9MB    4 hours ago   4 hours ago   1         false
6nwr66lrwen2   regular           12.1MB    4 hours ago   4 hours ago   1         true
gccego4cfu41   regular           6.74MB    4 hours ago   4 hours ago   1         false
ym42o5n5py50   regular           7.15MB    4 hours ago   4 hours ago   1         true
xpqlgs8ajz2f   regular           210MB     4 hours ago   4 hours ago   1         false
psl7zoojaeb5   regular           6.74MB    4 hours ago   4 hours ago   1         false
hu94d18p0sp5   regular           8.82kB    4 hours ago   4 hours ago   1         true
mqiys72ccz3d   regular           13.2kB    4 hours ago   4 hours ago   1         true
hro13tcsl8xx   regular           12.7kB    4 hours ago   4 hours ago   1         true
h45fmh2zkr4o   regular           13.5kB    4 hours ago   4 hours ago   1         true
k0u0dozq61sw   regular           17.8kB    4 hours ago   4 hours ago   1         true
x5orn74e2h1e   regular           117MB     4 hours ago   4 hours ago   1         false
ewrptks1mxh1   regular           20.7kB    4 hours ago   4 hours ago   1         false
u0on3o7ibnof   regular           484MB     4 hours ago   4 hours ago   1         false
ibwpfunupzyi   regular           37.1kB    4 hours ago   4 hours ago   1         false
kuydqwmobaf4   regular           28.4MB    4 hours ago   4 hours ago   1         false
plz4egwsxs0h   regular           21kB      4 hours ago   4 hours ago   1         false
1xysr7bixoo9   regular           73.6MB    4 hours ago   4 hours ago   1         false
fl57uff3rfez   regular           35.2kB    4 hours ago   4 hours ago   1         false
si3nmnkbx7qz   regular           28.9kB    4 hours ago   4 hours ago   1         false
js0hs4e9fyp0   regular           28.9kB    4 hours ago   4 hours ago   1         false
moh979zmsp5e   regular           4.13kB    4 hours ago   4 hours ago   1         false
p8o9oyc6pkl7   regular           54.2MB    4 hours ago   4 hours ago   1         true
rl2ub6axomes   regular           20.9kB    4 hours ago   4 hours ago   1         false
jthcik26h684   regular           201kB     4 hours ago   4 hours ago   1         false
w7o6il9ripmv   regular           8.19kB    4 hours ago   4 hours ago   1         false
hytrkbsgqy5w   regular           207MB     4 hours ago   4 hours ago   1         false
xccd53anj3km   regular           5.29MB    4 hours ago   4 hours ago   1         false
xtnhbu92hw1p   regular           1.61MB    4 hours ago   4 hours ago   1         false
tz2qdd4a7y5r   regular           46kB      4 hours ago   4 hours ago   1         false
o5ebbw4is3i9   regular           89.8MB    4 hours ago   4 hours ago   1         false
fodlmxhc6c0y   regular           29.3kB    4 hours ago   4 hours ago   1         false
x4bwd3ovn3nc   regular           671MB     4 hours ago   4 hours ago   1         false
2xji37k249z9   regular           8.29kB    4 hours ago   4 hours ago   1         false
rbaztums7kmt   regular           133kB     4 hours ago   4 hours ago   1         false
pfpu4bqjpwuh   regular           20.9kB    4 hours ago   4 hours ago   1         false
oi186is7jp8k   regular           20.9kB    4 hours ago   4 hours ago   1         false
cksrfu6s4830   regular           36.9kB    4 hours ago   4 hours ago   1         false
nywpaj62cnw4   regular           20.6kB    4 hours ago   4 hours ago   1         false
gipt7d3mktan   regular           307kB     4 hours ago   4 hours ago   1         false
ym5i9qpc2omw   regular           11.7MB    2 hours ago   2 hours ago   1         false
dbhawjuhmnau   regular           41.9kB    2 hours ago   2 hours ago   1         false
phjts6wsl6vu   regular           37.1kB    2 hours ago   2 hours ago   1         false
1acd9jzee0bv   regular           28.9MB    2 hours ago   2 hours ago   1         false
dhgu9enk5gid   regular           21kB      2 hours ago   2 hours ago   1         false
p3jcdfmlaj0c   regular           132MB     2 hours ago   2 hours ago   1         false
qh2i7ljlgz23   regular           35.2kB    2 hours ago   2 hours ago   1         false
icyfy6lxysmr   regular           149kB     2 hours ago   2 hours ago   1         false
jgs9r5vnxyz9   regular           121MB     2 hours ago   2 hours ago   1         false
hupvh2cyqyb5   regular           24.8kB    2 hours ago   2 hours ago   1         false
5rbnlyqxvosr   regular           5.59MB    2 hours ago   2 hours ago   1         false
59mtao3ckrjm   regular           8.61kB    2 hours ago   2 hours ago   1         false
kl15q2437szg   regular           8.74GB    3 hours ago   2 hours ago   1         false
j8v37nb8yd9w   exec.cachemount   27MB      2 hours ago   2 hours ago   2         false
xo3j43xvwgxz   exec.cachemount   183MB     2 hours ago   2 hours ago   2         false
8ph18tdozmz9   exec.cachemount   35MB      2 hours ago   2 hours ago   2         false
88bthh1gys6b   source.local      4.13MB    4 hours ago   2 hours ago   2         false
r4c0drfhi8zc   regular           6.07MB    2 hours ago   2 hours ago   1         false
pnz0i1xnc3iu   regular           169MB     2 hours ago   2 hours ago   1         false
5qtdhqyj41t1   regular           3.34MB    2 hours ago   2 hours ago   1         true
7qma3i7055q5   regular           4.13MB    2 hours ago   2 hours ago   1         false
wzvudv4shgtm   regular           172MB     2 hours ago   2 hours ago   1         false
kzy6r2t1lb1o   regular           29kB      2 hours ago   2 hours ago   1         true
